"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3471561,157,"Yes","Accommodation"
3471543,138,"Yes","Activities"
3471629,189,"Yes","Activities"
3466326,152,"Yes","Accommodation"
3496611,171,"Yes","Accommodation"
3471047,165,"Yes","Accommodation"
3470999,163,"Yes","Accommodation"
3496836,196,"Yes","Activities"
3471047,166,"Yes","Activities"
3496157,163,"Yes","Activities"
3471113,146,"Yes","Activities"
3471108,175,"Yes","Activities"
3471222,220,"No","All"
3472096,127,"Yes","Accommodation"
3471108,174,"Yes","Accommodation"
3471158,145,"Yes","Accommodation"
3471165,137,"Yes","Accommodation"
3471097,143,"Yes","Accommodation"
3470999,164,"Yes","Transport"
3471265,164,"Yes","Accommodation"
3472449,152,"Yes","Transport"
3497613,153,"Yes","Accommodation"
3497179,174,"Yes","Accommodation"
3471777,142,"No","All"
3471408,152,"No","All"
3497229,136,"Yes","Accommodation"
3497638,143,"Yes","Transport"
3497781,149,"Yes","Accommodation"
3497788,149,"Yes","Transport"
3471447,174,"Yes","Accommodation"
3472580,130,"Yes","Accommodation"
3497202,151,"No","All"
3502441,206,"No","All"
3497813,132,"Yes","Accommodation"
3497188,146,"No","All"
3471506,158,"No","All"
3472648,162,"Yes","Transport"
3471447,175,"Yes","Transport"
3495930,183,"Yes","Accommodation"
3471447,176,"Yes","Activities"
3471467,176,"No","All"
3496112,134,"Yes","Accommodation"
3471558,165,"Yes","Accommodation"
3496313,128,"Yes","Accommodation"
3503270,184,"Yes","Accommodation"
3496112,135,"Yes","Transport"
3471676,145,"Yes","Transport"
3503263,213,"No","All"
3496380,128,"No","All"
3503461,181,"Yes","Accommodation"
3471558,166,"Yes","Activities"
3471642,205,"No","All"
3496515,177,"No","All"
3503461,182,"Yes","Activities"
3503320,179,"Yes","Activities"
3503468,189,"No","All"
3503270,186,"Yes","Activities"
3471735,123,"No","All"
3471683,142,"Yes","Transport"
3471960,140,"Yes","Accommodation"
3503629,179,"Yes","Accommodation"
3503722,216,"Yes","Accommodation"
3472099,200,"Yes","Accommodation"
3496679,180,"Yes","Transport"
3503727,136,"Yes","Accommodation"
3496679,181,"Yes","Activities"
3503722,217,"Yes","Activities"
3496563,173,"Yes","Transport"
3503731,199,"Yes","Accommodation"
3503288,132,"No","All"
3497281,151,"Yes","Accommodation"
3471940,173,"Yes","Activities"
3497230,153,"Yes","Accommodation"
3497534,117,"Yes","Accommodation"
3503270,185,"Yes","Transport"
3497247,152,"Yes","Accommodation"
3503804,206,"Yes","Accommodation"
3497583,130,"Yes","Accommodation"
3497700,146,"Yes","Transport"
3472253,132,"Yes","Accommodation"
3496832,128,"No","All"
3503836,141,"No","All"
3472099,202,"Yes","Activities"
3472108,117,"No","All"
3472242,139,"Yes","Accommodation"
3496547,211,"Yes","Activities"
3497182,158,"No","All"
3472099,201,"Yes","Transport"
3497600,136,"Yes","Accommodation"
3497717,163,"Yes","Accommodation"
3502413,168,"Yes","Accommodation"
3523017,113,"Yes","Accommodation"
3472328,155,"Yes","Accommodation"
