"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3185010,126,"Weibu","After trip to NZ"
3184943,133,"Facebook","After trip to NZ"
3185014,129,"None of these","During trip to NZ"
3185013,149,"Facebook","After trip to NZ"
3185013,148,"Facebook","During trip to NZ"
3184964,114,"None of these","During trip to NZ"
3185017,123,"Facebook","During trip to NZ"
3184947,130,"None of these","After trip to NZ"
3185021,122,"Facebook","During trip to NZ"
3184951,107,"Facebook","During trip to NZ"
3185029,137,"Facebook","During trip to NZ"
3184964,115,"Facebook","After trip to NZ"
3185017,124,"None of these","After trip to NZ"
3185021,123,"Facebook","After trip to NZ"
3185025,135,"None of these","During trip to NZ"
3184976,132,"None of these","After trip to NZ"
3185045,125,"Facebook","Planning trip to NZ"
3185000,140,"Facebook","Planning trip to NZ"
3184947,129,"Facebook","During trip to NZ"
3184951,106,"None of these","Planning trip to NZ"
3184955,120,"None of these","Planning trip to NZ"
3185025,134,"Weibu","Planning trip to NZ"
3185029,136,"None of these","Planning trip to NZ"
3184976,130,"None of these","Planning trip to NZ"
3184980,119,"Facebook","After trip to NZ"
3184996,122,"None of these","During trip to NZ"
3185014,130,"None of these","After trip to NZ"
3185025,136,"Weibu","After trip to NZ"
3184976,131,"None of these","During trip to NZ"
3185021,121,"None of these","Planning trip to NZ"
3185018,123,"None of these","Planning trip to NZ"
3184980,117,"None of these","Planning trip to NZ"
3184996,121,"None of these","Planning trip to NZ"
3185030,124,"None of these","Planning trip to NZ"
3185018,125,"Facebook","After trip to NZ"
3184996,123,"Facebook","After trip to NZ"
3184959,140,"None of these","Planning trip to NZ"
3185018,124,"None of these","During trip to NZ"
3185022,136,"None of these","Planning trip to NZ"
3184980,118,"None of these","During trip to NZ"
