"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3185920,155,"Noisy"
3185410,145,"No air-conditioning/heating inadequate"
3185410,146,"Noisy"
3185463,158,"No air-conditioning/heating inadequate"
3194229,156,"Another reason"
3185920,149,"The Qualmark rating was too high"
3185921,140,"The Qualmark rating was too high"
3185463,156,"Too expensive"
3185921,141,"Poor customer service"
3185921,142,"Poor standard of cleanliness/dirty"
3185463,157,"Generally poor standard"
3185463,159,"Noisy"
3185921,143,"No free internet"
3185921,145,"No air-conditioning/heating inadequate"
3185593,153,"No air-conditioning/heating inadequate"
3185593,152,"Too expensive"
3185971,164,"Poor/old facilities"
3185971,165,"Too expensive"
3185593,151,"The Qualmark rating was too high"
3185921,144,"Generally poor standard"
3185921,146,"Poor value for money"
3185629,136,"No free internet"
3185629,137,"No air-conditioning/heating inadequate"
3185629,139,"Noisy"
3185677,146,"No free internet"
3185629,138,"Poor value for money"
3185677,144,"The Qualmark rating was too high"
3185677,147,"No air-conditioning/heating inadequate"
3185677,148,"Noisy"
3185971,168,"No free internet"
3185971,169,"No air-conditioning/heating inadequate"
3185971,170,"Poor value for money"
3185629,134,"Too expensive"
3185629,135,"Poor customer service"
3185677,145,"Too expensive"
3185971,166,"Poor customer service"
3185971,171,"Noisy"
3185877,176,"No free internet"
3185677,149,"Another reason"
3185877,172,"The Qualmark rating was too high"
3186004,154,"The Qualmark rating was too high"
3185971,167,"Poor standard of cleanliness/dirty"
3185877,171,"Poor/old facilities"
3185877,173,"Too expensive"
3185877,174,"Poor customer service"
3185877,175,"Poor standard of cleanliness/dirty"
3185877,177,"Generally poor standard"
3185877,178,"Poor value for money"
3186004,157,"Generally poor standard"
3185540,147,"Noisy"
3186004,158,"Noisy"
3186004,159,"Another reason"
3185980,149,"The Qualmark rating was too high"
3186056,164,"The Qualmark rating was too high"
3186056,168,"Another reason"
3186004,155,"Too expensive"
3186004,156,"Poor customer service"
3185980,148,"Poor/old facilities"
3185980,150,"Too expensive"
3186056,165,"Too expensive"
3186056,166,"Poor customer service"
3186072,145,"No free internet"
3186072,142,"The Qualmark rating was too high"
3186056,167,"Generally poor standard"
3186072,141,"Poor/old facilities"
3186072,143,"Poor customer service"
3186072,144,"Poor standard of cleanliness/dirty"
3186089,154,"Poor/old facilities"
3186089,155,"Too expensive"
3186089,156,"Poor customer service"
3186089,158,"Generally poor standard"
3186089,160,"Poor value for money"
3186089,162,"Another reason"
3185799,134,"The Qualmark rating was too high"
3186089,157,"Poor standard of cleanliness/dirty"
3185799,135,"Too expensive"
3185799,136,"Poor customer service"
3186072,146,"Noisy"
3186089,159,"No air-conditioning/heating inadequate"
3186089,161,"Noisy"
3186172,157,"No free internet"
3185980,152,"No free internet"
3186172,158,"Poor value for money"
3185980,153,"Poor value for money"
3186172,156,"Poor customer service"
3185980,151,"Poor standard of cleanliness/dirty"
3185799,137,"Poor standard of cleanliness/dirty"
3187073,159,"No free internet"
3186172,155,"The Qualmark rating was too high"
3186172,159,"Another reason"
3187073,156,"The Qualmark rating was too high"
3187073,163,"Another reason"
3187073,162,"Noisy"
3185799,138,"No air-conditioning/heating inadequate"
3185799,140,"Noisy"
3185840,178,"No air-conditioning/heating inadequate"
3187075,143,"The Qualmark rating was too high"
3187073,160,"Generally poor standard"
3187073,161,"Poor value for money"
3185799,139,"Poor value for money"
3185840,179,"Poor value for money"
3187073,155,"Poor/old facilities"
3187073,157,"Too expensive"
3187073,158,"Poor customer service"
3185840,175,"Poor/old facilities"
3185840,176,"Too expensive"
3185840,177,"Poor customer service"
3186045,145,"Noisy"
3187075,144,"No air-conditioning/heating inadequate"
3186131,151,"No free internet"
3186045,144,"Poor/old facilities"
3186131,149,"Poor/old facilities"
3186131,150,"Poor customer service"
3185935,142,"Poor/old facilities"
3185935,143,"Too expensive"
3186131,152,"Noisy"
3187292,149,"No free internet"
3187292,151,"No air-conditioning/heating inadequate"
3187292,154,"Another reason"
3187292,150,"Generally poor standard"
3187292,152,"Poor value for money"
3187292,146,"Too expensive"
3187292,147,"Poor customer service"
3187292,148,"Poor standard of cleanliness/dirty"
3187292,153,"Noisy"
3185935,145,"No air-conditioning/heating inadequate"
3187391,154,"No air-conditioning/heating inadequate"
