"SurveyResponseID","AnswerNumber","iSiteUsage"
3186198,97,"Suggested itineraries"
3186211,79,"General information about a different region"
3186215,77,"Directions"
3186278,93,"General information about a different region"
3186447,95,"Accommodation in the region you were in"
3186447,96,"Accommodation in a different region"
3186613,89,"Something else"
3186630,88,"Accommodation in a different region"
3186630,89,"Flights within New Zealand"
3186647,96,"Accommodation in the region you were in"
3186278,92,"Maps"
3186447,94,"Maps"
3186597,86,"Weather information"
3186331,86,"Access to resources to assist you to plan"
3186331,87,"General information about a different region"
3186447,93,"Access to resources to assist you to plan"
3184634,90,"Suggested itineraries"
3186630,91,"Suggested itineraries"
3186647,95,"Access to resources to assist you to plan"
3186647,97,"Transport/ travel options around New Zealand"
3184832,100,"Information about amenities/services for the town you were in"
3184832,101,"Accommodation in a different region"
3184649,85,"General information about the region you were in"
3186597,87,"Attractions / Activities"
3186630,87,"Check/confirm existing travel plans"
3186630,90,"Attractions / Activities"
3186647,98,"Attractions / Activities"
3184832,99,"Overview of NZ regions"
3184837,95,"Transport/ travel options around New Zealand"
3186797,82,"Information about amenities/services for the town you were in"
3186846,76,"Information about amenities/services for the town you were in"
3184832,102,"Attractions / Activities"
3184837,93,"General information about the region you were in"
3184837,94,"Compare prices / find deals"
3186797,81,"General information about the region you were in"
3186846,75,"General information about the region you were in"
3186864,89,"Accommodation in a different region"
3186749,80,"Maps"
3184649,86,"Maps"
3186846,78,"Suggested itineraries"
3186864,88,"Directions"
3186900,96,"Directions"
3186846,77,"Attractions / Activities"
3186864,87,"General information about the region you were in"
3186864,91,"Attractions / Activities"
3186865,74,"General information about the region you were in"
3186900,93,"General information about the region you were in"
3186900,94,"Check/confirm existing travel plans"
3186900,95,"Maps"
3186915,91,"Maps"
3186930,83,"Maps"
3186931,90,"Maps"
3186864,90,"Event information"
3186915,94,"Transport/ travel options around New Zealand"
3186931,91,"Accommodation in a different region"
3186950,89,"Event information"
3186915,90,"Access to resources to assist you to plan"
3186915,92,"Information about Maori culture / cultural activities"
3186900,97,"Attractions / Activities"
3186999,76,"Information about amenities/services for the town you were in"
3186915,93,"Compare prices / find deals"
3186915,95,"Attractions / Activities"
3186930,82,"General information about the region you were in"
3186930,85,"Attractions / Activities"
3186950,88,"Overview of NZ regions"
3186999,75,"General information about the region you were in"
3186950,87,"Maps"
3187014,72,"Maps"
3186999,77,"Accommodation in a different region"
3187014,73,"Accommodation in the region you were in"
3187014,74,"Accommodation in a different region"
3187015,95,"Information about amenities/services for the town you were in"
3187015,96,"Accommodation in the region you were in"
3184837,96,"Attractions / Activities"
3186999,78,"Attractions / Activities"
3184848,90,"Accommodation in a different region"
3184848,91,"Transport/ travel options around New Zealand"
3186930,84,"Directions"
3184848,89,"Directions"
3187032,88,"Access to resources to assist you to plan"
3187014,75,"Attractions / Activities"
3187015,94,"Overview of NZ regions"
3187015,97,"Attractions / Activities"
3184848,86,"General information about the region you were in"
3187015,93,"Maps"
3184848,88,"Maps"
3184645,77,"Information about amenities/services for the town you were in"
3187049,77,"General information about a different region"
3184645,75,"Access to resources to assist you to plan"
3184645,76,"General information about a different region"
3184848,87,"Check/confirm existing travel plans"
3187032,89,"Compare prices / find deals"
3187032,90,"Attractions / Activities"
3184645,74,"General information about the region you were in"
3187049,76,"Overview of NZ regions"
3187050,83,"Information about amenities/services for the town you were in"
3187050,84,"Transport/ travel options around New Zealand"
3187067,80,"Information about amenities/services for the town you were in"
3187067,81,"Transport/ travel options around New Zealand"
3187050,80,"Compare prices / find deals"
3187050,82,"Overview of NZ regions"
3187065,77,"General information about the region you were in"
3187049,75,"Maps"
3187067,78,"Maps"
3187050,81,"Directions"
3187050,85,"Suggested itineraries"
3187065,78,"Directions"
3187065,80,"Suggested itineraries"
3187067,79,"General information about a different region"
3187100,89,"Information about amenities/services for the town you were in"
3187100,90,"Accommodation in a different region"
3187114,96,"Information about amenities/services for the town you were in"
3187114,97,"Accommodation in the region you were in"
3187065,79,"Attractions / Activities"
3187067,77,"General information about the region you were in"
3187100,87,"Maps"
3187100,88,"To meet other travellers"
3187114,94,"Weather information"
3187116,81,"Information about amenities/services for the town you were in"
3187067,82,"Attractions / Activities"
3187100,86,"General information about the region you were in"
3187100,91,"Attractions / Activities"
3187114,95,"Compare prices / find deals"
3187114,98,"Attractions / Activities"
3187116,77,"General information about the region you were in"
3187116,78,"Access to resources to assist you to plan"
3187117,76,"Transport/ travel options around New Zealand"
3187117,77,"Event information"
3187134,85,"Accommodation in the region you were in"
3184649,88,"Information about amenities/services for the town you were in"
3184649,89,"Accommodation in a different region"
3187181,98,"Information about amenities/services for the town you were in"
3187116,79,"Maps"
3187117,74,"Maps"
3187117,75,"Internet access"
3187134,84,"Maps"
3187181,97,"Maps"
3187116,82,"Attractions / Activities"
3187117,73,"General information about the region you were in"
3187134,83,"General information about the region you were in"
3187134,86,"Attractions / Activities"
3184649,87,"Overview of NZ regions"
3184649,90,"Attractions / Activities"
3187199,89,"Accommodation in the region you were in"
3187181,99,"Attractions / Activities"
3187201,74,"General information about the region you were in"
3187201,78,"Accommodation in a different region"
3187201,79,"Transport/ travel options around New Zealand"
3187201,80,"Flights within New Zealand"
3187234,89,"Accommodation in the region you were in"
3187199,85,"Maps"
