"SurveyResponseID","AnswerNumber","iSiteUsage"
3495886,121,"Accommodation in the region you were in"
3495886,122,"Event information"
3495886,118,"Compare prices / find deals"
3495886,123,"Attractions / Activities"
3495886,117,"Information about Maori culture / cultural activities"
3495886,119,"General information about a different region"
3495903,74,"Information about amenities/services for the town you were in"
3495886,115,"Maps"
3495886,116,"Internet access"
3495887,80,"Maps"
3495903,72,"Maps"
3495887,79,"General information about the region you were in"
3495887,81,"Attractions / Activities"
3495904,90,"General information about the region you were in"
3495903,73,"Directions"
3522838,104,"General information about a different region"
3522890,114,"Accommodation in the region you were in"
3522890,115,"Accommodation in a different region"
3522890,116,"Event information"
3495904,91,"Maps"
3522881,90,"Maps"
3522881,89,"General information about the region you were in"
3522881,92,"Attractions / Activities"
3522881,91,"Directions"
3522881,93,"Suggested itineraries"
3522890,113,"General information about a different region"
3522899,117,"Information about amenities/services for the town you were in"
3522899,118,"Accommodation in the region you were in"
3522899,113,"Maps"
3522899,114,"Internet access"
3522890,117,"Attractions / Activities"
3522899,111,"General information about the region you were in"
3522899,112,"Access to resources to assist you to plan"
3522899,115,"Directions"
3522899,116,"General information about a different region"
3522899,119,"Transport/ travel options around New Zealand"
3522906,96,"Information about amenities/services for the town you were in"
3522906,97,"Accommodation in a different region"
3522906,93,"Weather information"
3522899,120,"Attractions / Activities"
3522906,98,"Attractions / Activities"
3522899,121,"Suggested itineraries"
3522906,95,"General information about a different region"
3522965,130,"Information about amenities/services for the town you were in"
3522906,94,"Maps"
3522965,125,"Weather information"
3522965,126,"Maps"
3522965,127,"Internet access"
3522965,124,"General information about the region you were in"
3522965,129,"Overview of NZ regions"
3522938,94,"General information about a different region"
3522938,95,"Suggested itineraries"
3522965,131,"Accommodation in the region you were in"
3523006,69,"Information about amenities/services for the town you were in"
3523006,70,"Something else"
3522965,132,"Attractions / Activities"
3522992,88,"General information about the region you were in"
3523099,102,"General information about the region you were in"
3522965,128,"Directions"
3522992,90,"Directions"
3523099,105,"Transport/ travel options around New Zealand"
3522992,89,"Maps"
3523117,89,"Maps"
3523099,104,"Compare prices / find deals"
3523099,106,"Attractions / Activities"
3523117,91,"Overview of NZ regions"
3523006,68,"Directions"
3523099,103,"Access to resources to assist you to plan"
3523099,107,"Suggested itineraries"
3523117,88,"Access to resources to assist you to plan"
3523117,92,"Transport/ travel options around New Zealand"
3523124,89,"Accommodation in the region you were in"
3523142,97,"General information about the region you were in"
3523142,100,"Overview of NZ regions"
3523117,90,"Directions"
3523124,88,"Access to resources to assist you to plan"
3523142,99,"Directions"
3523142,101,"General information about a different region"
3523142,102,"Information about amenities/services for the town you were in"
3523142,103,"Accommodation in the region you were in"
3523142,104,"Accommodation in a different region"
3523158,93,"Information about amenities/services for the town you were in"
3523142,98,"Maps"
3523158,91,"Weather information"
3523142,105,"Attractions / Activities"
3523158,90,"General information about the region you were in"
3523142,106,"Suggested itineraries"
3523158,94,"Something else"
3523192,86,"Something else"
3523197,97,"Information about amenities/services for the town you were in"
3523197,98,"Accommodation in the region you were in"
3523197,99,"Event information"
3523158,92,"Maps"
3523197,96,"Maps"
3523167,79,"Compare prices / find deals"
3523197,95,"General information about the region you were in"
3523167,77,"Access to resources to assist you to plan"
3523167,78,"Information about Maori culture / cultural activities"
3523206,87,"Information about amenities/services for the town you were in"
3523206,88,"Accommodation in the region you were in"
3523206,89,"Accommodation in a different region"
3523206,85,"Maps"
3523208,92,"Maps"
3523197,100,"Attractions / Activities"
3523206,86,"Directions"
3523208,91,"Access to resources to assist you to plan"
3523215,106,"Weather information"
3523208,90,"General information about the region you were in"
3523208,93,"Compare prices / find deals"
3523208,95,"Attractions / Activities"
3523215,108,"Attractions / Activities"
3523208,94,"Directions"
3523208,96,"Suggested itineraries"
3523215,107,"General information about a different region"
3495904,92,"Directions"
3495904,93,"General information about a different region"
3495904,94,"Information about amenities/services for the town you were in"
3495904,95,"Accommodation in a different region"
3495904,96,"Transport/ travel options around New Zealand"
3495919,93,"Information about amenities/services for the town you were in"
3495919,94,"Accommodation in a different region"
3495919,95,"Transport/ travel options around New Zealand"
3523222,88,"Directions"
3495919,91,"Information about Maori culture / cultural activities"
3495919,92,"Directions"
3495919,96,"Suggested itineraries"
3523231,82,"Attractions / Activities"
3523231,83,"Suggested itineraries"
3523251,101,"Access to resources to assist you to plan"
3523251,100,"General information about the region you were in"
3495919,90,"Maps"
3523258,104,"Maps"
3523251,103,"Attractions / Activities"
3503235,102,"General information about the region you were in"
3523256,84,"General information about the region you were in"
3523256,85,"Attractions / Activities"
3523258,102,"General information about the region you were in"
3523251,102,"General information about a different region"
3523258,103,"Access to resources to assist you to plan"
3523258,105,"Information about Maori culture / cultural activities"
3523258,109,"Information about amenities/services for the town you were in"
3523333,113,"Weather information"
3523258,106,"Compare prices / find deals"
3523258,108,"Overview of NZ regions"
3523258,110,"Attractions / Activities"
3523299,96,"General information about the region you were in"
3523333,112,"General information about the region you were in"
3503235,104,"Information about amenities/services for the town you were in"
3503276,81,"Information about amenities/services for the town you were in"
3503276,82,"Accommodation in the region you were in"
3523258,107,"Directions"
3523299,97,"Suggested itineraries"
3503235,103,"Maps"
3503237,126,"Maps"
3503237,124,"General information about the region you were in"
3503237,125,"Check/confirm existing travel plans"
3503276,83,"Attractions / Activities"
3523333,118,"Information about amenities/services for the town you were in"
3503303,86,"Information about amenities/services for the town you were in"
3523333,114,"Maps"
3503303,84,"Maps"
3503237,127,"Directions"
3503276,84,"Suggested itineraries"
3523333,117,"General information about a different region"
3523333,115,"Compare prices / find deals"
3523333,116,"Overview of NZ regions"
3523342,77,"Transport/ travel options around New Zealand"
3523342,78,"Something else"
3503321,101,"Something else"
3503303,85,"Directions"
3503303,88,"Suggested itineraries"
3503303,87,"Attractions / Activities"
3503321,98,"General information about the region you were in"
3503321,99,"Overview of NZ regions"
3503321,100,"Attractions / Activities"
3503326,86,"General information about the region you were in"
3523367,113,"Accommodation in the region you were in"
3503326,88,"Directions"
3503326,89,"General information about a different region"
3523374,93,"Access to resources to assist you to plan"
3523367,110,"Weather information"
3523367,111,"Maps"
3503326,87,"Maps"
3523367,109,"General information about the region you were in"
3523367,112,"Overview of NZ regions"
3503326,90,"Information about amenities/services for the town you were in"
3503326,91,"Transport/ travel options around New Zealand"
3503335,88,"Event information"
3523374,94,"Maps"
3503335,87,"Maps"
3503335,89,"Suggested itineraries"
3503326,92,"Attractions / Activities"
3523381,107,"General information about the region you were in"
3523381,109,"Information about amenities/services for the town you were in"
3503337,94,"See ratings by other travellers"
3523381,108,"Maps"
3503337,90,"Weather information"
3503337,91,"Maps"
3503337,92,"Internet access"
3523381,110,"Attractions / Activities"
3503337,89,"General information about the region you were in"
3503337,95,"Attractions / Activities"
3503337,93,"Directions"
3523660,122,"Access to resources to assist you to plan"
3523660,126,"Information about Maori culture / cultural activities"
3523383,89,"Weather information"
3523660,123,"Weather information"
3523660,124,"Maps"
3523660,125,"Internet access"
3523660,120,"General information about the region you were in"
3523660,121,"Check/confirm existing travel plans"
3523660,130,"Information about amenities/services for the town you were in"
3523660,131,"Accommodation in the region you were in"
3523660,132,"Accommodation in a different region"
3523660,127,"Directions"
3523660,129,"General information about a different region"
3523660,134,"Suggested itineraries"
3503369,113,"Access to resources to assist you to plan"
3523660,128,"Overview of NZ regions"
3523660,133,"Attractions / Activities"
3503371,103,"Accommodation in the region you were in"
3523701,86,"Access to resources to assist you to plan"
3523708,87,"Access to resources to assist you to plan"
3523674,76,"Maps"
3503369,114,"Maps"
3523701,87,"Maps"
3523708,88,"Maps"
3503369,115,"Attractions / Activities"
3523701,88,"Attractions / Activities"
3523708,86,"General information about the region you were in"
3523708,92,"Event information"
3523717,74,"See ratings by other travellers"
3523708,89,"Directions"
3523708,91,"General information about a different region"
3523717,73,"Directions"
3523717,75,"Suggested itineraries"
3523708,90,"Overview of NZ regions"
3523708,93,"Attractions / Activities"
3503446,84,"Accommodation in a different region"
3503453,116,"Event information"
3523758,98,"Transport/ travel options around New Zealand"
3503446,85,"Suggested itineraries"
3503453,115,"General information about a different region"
3503453,117,"Suggested itineraries"
3523717,72,"Maps"
3503446,83,"Maps"
3503460,104,"General information about the region you were in"
3503460,106,"Something else"
3503478,85,"Accommodation in the region you were in"
3503460,105,"Maps"
3523767,109,"Maps"
3503478,83,"Internet access"
3523767,110,"Attractions / Activities"
3523817,94,"General information about the region you were in"
3523817,96,"Maps"
3523819,100,"Maps"
3503478,84,"Directions"
3523817,97,"Directions"
3523817,95,"Check/confirm existing travel plans"
3523817,99,"Attractions / Activities"
3523819,99,"General information about the region you were in"
3523819,103,"Attractions / Activities"
3503519,85,"General information about the region you were in"
3523817,98,"Information about amenities/services for the town you were in"
3523819,102,"Information about amenities/services for the town you were in"
3524785,87,"Maps"
3524787,96,"Maps"
3523819,101,"Directions"
3524787,97,"General information about a different region"
3524785,86,"General information about the region you were in"
3524785,89,"Attractions / Activities"
3524787,95,"General information about the region you were in"
3524787,99,"Attractions / Activities"
3524785,88,"Information about amenities/services for the town you were in"
3524787,98,"Information about amenities/services for the town you were in"
3524844,96,"Information about amenities/services for the town you were in"
3524844,97,"Accommodation in the region you were in"
3524846,85,"Weather information"
3524871,166,"Weather information"
3524846,86,"Suggested itineraries"
3524844,98,"Attractions / Activities"
3524871,165,"Check/confirm existing travel plans"
3524871,167,"Information about amenities/services for the town you were in"
3524871,168,"Event information"
3524887,124,"Information about amenities/services for the town you were in"
3524887,121,"Access to resources to assist you to plan"
3524871,169,"Attractions / Activities"
3524885,110,"Check/confirm existing travel plans"
3524885,111,"Attractions / Activities"
3524887,120,"General information about the region you were in"
3524887,125,"Attractions / Activities"
3524889,112,"Information about amenities/services for the town you were in"
3503519,86,"Accommodation in a different region"
3524887,122,"Maps"
3524889,111,"Maps"
3495953,72,"Maps"
3503535,106,"Weather information"
3524889,113,"Attractions / Activities"
3503535,105,"General information about the region you were in"
3503535,108,"Overview of NZ regions"
3503535,110,"Information about amenities/services for the town you were in"
3495969,90,"Information about amenities/services for the town you were in"
3495969,91,"Accommodation in a different region"
3495969,92,"Transport/ travel options around New Zealand"
3524887,123,"Directions"
3503535,109,"General information about a different region"
3503571,99,"Information about amenities/services for the town you were in"
3503535,111,"Attractions / Activities"
3495969,93,"Attractions / Activities"
3503571,98,"Overview of NZ regions"
3503578,96,"General information about the region you were in"
3503578,98,"Overview of NZ regions"
3496019,75,"General information about the region you were in"
3495969,89,"Directions"
3503578,99,"Suggested itineraries"
3503535,107,"Maps"
3503578,97,"Maps"
3496019,79,"Event information"
3496020,98,"Information about amenities/services for the town you were in"
3496020,99,"Accommodation in the region you were in"
3496019,78,"General information about a different region"
3496020,96,"Directions"
3496020,97,"General information about a different region"
3496019,77,"Compare prices / find deals"
3496020,94,"General information about the region you were in"
3496019,76,"Maps"
3496020,95,"Maps"
3496020,100,"Transport/ travel options around New Zealand"
3496035,136,"Information about amenities/services for the town you were in"
3496020,101,"Attractions / Activities"
3496035,137,"Attractions / Activities"
3496035,133,"Access to resources to assist you to plan"
3496035,135,"Directions"
3496035,138,"Suggested itineraries"
3496035,134,"Maps"
3503614,104,"Maps"
3503614,106,"Information about amenities/services for the town you were in"
3496089,104,"Event information"
3503614,105,"Directions"
3496089,100,"Access to resources to assist you to plan"
3496086,87,"Attractions / Activities"
3503619,103,"General information about the region you were in"
3496089,101,"Maps"
3496089,102,"To meet other travellers"
3496102,92,"Event information"
3496105,72,"Transport/ travel options around New Zealand"
3496089,103,"Directions"
3503637,115,"Access to resources to assist you to plan"
3496102,89,"General information about the region you were in"
3503637,114,"General information about the region you were in"
3496102,90,"Weather information"
3496102,91,"Maps"
3496105,71,"Maps"
3503637,116,"Weather information"
3503637,119,"Information about amenities/services for the town you were in"
3503637,120,"Event information"
3503637,118,"Information about Maori culture / cultural activities"
3503637,122,"Suggested itineraries"
3503696,120,"General information about a different region"
3503637,121,"Attractions / Activities"
3503696,119,"Overview of NZ regions"
3503637,117,"Maps"
3503696,118,"Maps"
3503696,121,"Transport/ travel options around New Zealand"
3503696,122,"Event information"
3496303,87,"Transport/ travel options around New Zealand"
3503696,124,"Suggested itineraries"
3503696,123,"Attractions / Activities"
3496303,85,"Compare prices / find deals"
3496303,83,"Maps"
3496303,84,"Internet access"
3503705,114,"Event information"
3496303,86,"Directions"
3503721,91,"General information about a different region"
3503721,93,"Suggested itineraries"
3503705,111,"General information about the region you were in"
3503705,113,"Compare prices / find deals"
3503721,89,"General information about the region you were in"
3503721,92,"Attractions / Activities"
3503705,112,"Maps"
3503721,90,"Maps"
3503753,69,"Information about amenities/services for the town you were in"
3496388,129,"Transport/ travel options around New Zealand"
3496388,126,"Directions"
3496388,128,"General information about a different region"
3503753,70,"Attractions / Activities"
3496388,127,"Overview of NZ regions"
3503753,67,"Maps"
3503753,68,"Internet access"
3503764,100,"Information about amenities/services for the town you were in"
3496388,125,"Maps"
3503764,98,"Maps"
3503764,99,"Directions"
3496388,131,"Suggested itineraries"
3496403,77,"Access to resources to assist you to plan"
3503764,97,"General information about the region you were in"
3496388,130,"Attractions / Activities"
3496403,76,"Check/confirm existing travel plans"
3496403,79,"Transport/ travel options around New Zealand"
3496438,142,"Information about amenities/services for the town you were in"
3496403,78,"Maps"
3496438,138,"Weather information"
3496438,139,"Internet access"
3496403,80,"Attractions / Activities"
3496438,136,"General information about the region you were in"
3496438,137,"Check/confirm existing travel plans"
3496438,140,"Compare prices / find deals"
3503803,95,"Accommodation in the region you were in"
3496438,143,"Accommodation in the region you were in"
3503789,87,"Attractions / Activities"
3503803,92,"General information about the region you were in"
3503821,100,"General information about the region you were in"
3496438,141,"Directions"
3503789,86,"General information about a different region"
3503803,94,"General information about a different region"
3503803,96,"Suggested itineraries"
3503821,102,"Event information"
3496487,95,"Information about amenities/services for the town you were in"
3503803,93,"Maps"
3503821,101,"Maps"
3496487,92,"Weather information"
3496487,93,"Maps"
3496487,94,"Internet access"
3496487,91,"Access to resources to assist you to plan"
3496453,80,"Attractions / Activities"
3503821,103,"Attractions / Activities"
3496487,96,"Transport/ travel options around New Zealand"
3496487,97,"Event information"
3522825,134,"Event information"
3496487,98,"Attractions / Activities"
3522825,131,"General information about the region you were in"
3522825,133,"Overview of NZ regions"
3496506,114,"Internet access"
3522825,135,"Attractions / Activities"
3496506,112,"General information about the region you were in"
3496506,115,"Attractions / Activities"
3522875,104,"Overview of NZ regions"
3522875,105,"Attractions / Activities"
3496540,107,"General information about the region you were in"
3496487,99,"Suggested itineraries"
3522825,132,"Information about Maori culture / cultural activities"
3496506,113,"Access to resources to assist you to plan"
3522875,102,"Weather information"
3522875,103,"Maps"
3496540,108,"Weather information"
3496556,83,"General information about the region you were in"
3496556,87,"Compare prices / find deals"
3496506,116,"Suggested itineraries"
3522875,101,"Access to resources to assist you to plan"
3522875,106,"Suggested itineraries"
3496540,111,"Directions"
3496556,84,"Access to resources to assist you to plan"
3496556,86,"Information about Maori culture / cultural activities"
3496540,109,"Maps"
3496540,110,"To meet other travellers"
3496556,91,"Information about amenities/services for the town you were in"
3496556,92,"Accommodation in the region you were in"
3496556,93,"Accommodation in a different region"
3496556,94,"Transport/ travel options around New Zealand"
3496556,89,"Overview of NZ regions"
3496556,95,"Attractions / Activities"
3496556,88,"Directions"
3496556,90,"General information about a different region"
3496556,96,"Suggested itineraries"
3496604,144,"Access to resources to assist you to plan"
3496604,142,"General information about the region you were in"
3496604,143,"Check/confirm existing travel plans"
3496604,148,"Compare prices / find deals"
3496604,150,"Overview of NZ regions"
3496556,85,"Maps"
3496604,145,"Weather information"
3496604,146,"Maps"
3496604,147,"Internet access"
3496604,151,"Information about amenities/services for the town you were in"
3496604,152,"Accommodation in the region you were in"
3496604,153,"Transport/ travel options around New Zealand"
3496604,154,"Event information"
3496604,149,"Directions"
3496604,156,"Suggested itineraries"
3522950,88,"General information about a different region"
3496604,155,"Attractions / Activities"
3522950,89,"Attractions / Activities"
3522989,101,"Information about amenities/services for the town you were in"
3496706,86,"Information about amenities/services for the town you were in"
3522973,91,"General information about the region you were in"
3522973,93,"Attractions / Activities"
3523023,124,"General information about the region you were in"
3522950,90,"Suggested itineraries"
3522989,100,"Directions"
3522989,102,"Suggested itineraries"
3522950,87,"Maps"
3522973,92,"Maps"
3523023,127,"Information about amenities/services for the town you were in"
3496738,90,"Accommodation in the region you were in"
3496738,91,"Attractions / Activities"
3523039,117,"General information about the region you were in"
3523023,125,"Access to resources to assist you to plan"
3496738,89,"General information about a different region"
3523023,126,"Maps"
3496738,88,"Maps"
3523039,119,"Accommodation in a different region"
3523039,120,"Attractions / Activities"
3496756,215,"General information about the region you were in"
3496756,218,"Compare prices / find deals"
3496756,220,"Overview of NZ regions"
3496756,217,"Information about Maori culture / cultural activities"
3496756,219,"Directions"
3496756,221,"General information about a different region"
3523039,118,"Maps"
3496756,216,"Internet access"
3496756,222,"Information about amenities/services for the town you were in"
3496756,223,"Accommodation in the region you were in"
3496756,224,"Accommodation in a different region"
3496756,225,"Event information"
3496756,228,"Something else"
3496789,68,"Transport/ travel options around New Zealand"
3496756,227,"Suggested itineraries"
3496756,226,"Attractions / Activities"
3523100,105,"Information about amenities/services for the town you were in"
3496806,85,"Information about amenities/services for the town you were in"
3496806,86,"Event information"
3523100,104,"Maps"
3496806,83,"Maps"
3496806,81,"General information about the region you were in"
3496806,82,"Access to resources to assist you to plan"
3496806,84,"General information about a different region"
3496806,87,"Suggested itineraries"
3496823,82,"Information about amenities/services for the town you were in"
3496823,83,"Accommodation in the region you were in"
3496823,84,"Accommodation in a different region"
3496821,136,"Maps"
3496821,137,"Internet access"
3496821,138,"Overview of NZ regions"
3496821,139,"Attractions / Activities"
3496823,81,"General information about a different region"
3496823,85,"Attractions / Activities"
3496823,80,"Maps"
3523148,104,"Weather information"
3523148,105,"Maps"
3523148,106,"Internet access"
3523148,101,"General information about the region you were in"
3523148,102,"Check/confirm existing travel plans"
3496823,86,"Suggested itineraries"
3523148,103,"Access to resources to assist you to plan"
3523148,107,"Information about Maori culture / cultural activities"
3523148,111,"Information about amenities/services for the town you were in"
3523148,112,"Event information"
3496888,82,"Information about amenities/services for the town you were in"
3523148,108,"Directions"
3523148,110,"General information about a different region"
3496888,84,"Suggested itineraries"
3523148,109,"Overview of NZ regions"
3523148,113,"Attractions / Activities"
3496888,83,"Attractions / Activities"
3496889,79,"Transport/ travel options around New Zealand"
3496888,81,"Maps"
3496889,77,"Weather information"
3523175,119,"Weather information"
3523175,120,"Maps"
3523175,121,"Internet access"
3496889,78,"General information about a different region"
3496889,76,"Check/confirm existing travel plans"
3496889,80,"Attractions / Activities"
3523175,118,"General information about the region you were in"
3523175,124,"Accommodation in the region you were in"
3523175,123,"Directions"
3523175,126,"Suggested itineraries"
3496907,106,"Access to resources to assist you to plan"
3523175,122,"Compare prices / find deals"
3523175,125,"Attractions / Activities"
3496907,105,"General information about the region you were in"
3496907,107,"Compare prices / find deals"
3496907,108,"Attractions / Activities"
3523182,71,"Something else"
3496923,109,"Information about amenities/services for the town you were in"
3496923,106,"Weather information"
3496923,107,"Maps"
3523191,98,"Weather information"
3496923,108,"General information about a different region"
3496923,105,"General information about the region you were in"
3496923,110,"Attractions / Activities"
3523191,103,"Information about amenities/services for the town you were in"
3523191,104,"Accommodation in a different region"
3523191,99,"Maps"
3523191,100,"Internet access"
3523191,101,"Compare prices / find deals"
3523191,102,"Overview of NZ regions"
3523191,105,"Attractions / Activities"
3496938,84,"Check/confirm existing travel plans"
3523191,106,"Suggested itineraries"
3496939,103,"Maps"
3523225,80,"Maps"
3496938,85,"Directions"
3523225,81,"General information about a different region"
3496938,86,"Attractions / Activities"
3496939,102,"General information about the region you were in"
3523225,79,"General information about the region you were in"
3523225,82,"Attractions / Activities"
3523234,72,"General information about the region you were in"
3496973,125,"Information about amenities/services for the town you were in"
3496973,126,"Event information"
3523234,73,"Maps"
3496973,124,"Maps"
3496973,128,"Suggested itineraries"
3496973,123,"General information about the region you were in"
3496973,127,"Attractions / Activities"
3496988,80,"General information about the region you were in"
3523248,123,"General information about the region you were in"
3523248,128,"Something else"
3523257,69,"Information about amenities/services for the town you were in"
3523234,74,"Directions"
3523248,125,"Information about Maori culture / cultural activities"
3523248,126,"General information about a different region"
3523248,127,"Attractions / Activities"
3497007,98,"General information about the region you were in"
3497007,99,"Check/confirm existing travel plans"
3497007,100,"Overview of NZ regions"
3523266,109,"Information about amenities/services for the town you were in"
3523248,124,"Maps"
3523266,106,"Weather information"
3523266,110,"Suggested itineraries"
3497025,106,"Access to resources to assist you to plan"
3523266,105,"General information about the region you were in"
3523266,108,"Compare prices / find deals"
3497025,104,"General information about the region you were in"
3497025,105,"Check/confirm existing travel plans"
3497025,110,"Information about amenities/services for the town you were in"
3497025,111,"Accommodation in the region you were in"
3523266,107,"Maps"
3497025,107,"Maps"
3497025,108,"Directions"
3497025,109,"General information about a different region"
3497025,114,"Suggested itineraries"
3523275,103,"Access to resources to assist you to plan"
3497025,113,"Attractions / Activities"
3497025,112,"Accommodation in a different region"
3523275,105,"Event information"
3497040,74,"Accommodation in the region you were in"
3497040,75,"Accommodation in a different region"
3523275,106,"Attractions / Activities"
3497040,73,"General information about the region you were in"
3497040,76,"Attractions / Activities"
3497089,167,"General information about the region you were in"
3523275,107,"Suggested itineraries"
3497089,172,"Information about amenities/services for the town you were in"
3497089,173,"Accommodation in the region you were in"
3523275,104,"Maps"
3497089,169,"Weather information"
3497089,168,"Check/confirm existing travel plans"
3497089,174,"Attractions / Activities"
3523323,109,"General information about the region you were in"
3523323,110,"Check/confirm existing travel plans"
3523323,118,"Accommodation in the region you were in"
3523323,119,"Accommodation in a different region"
3497089,170,"Maps"
3523323,111,"Maps"
3523323,112,"Internet access"
3497089,171,"Directions"
3523323,113,"Information about Maori culture / cultural activities"
3523323,115,"Directions"
3523323,117,"General information about a different region"
3523323,114,"Compare prices / find deals"
3523323,116,"Overview of NZ regions"
3523323,120,"Transport/ travel options around New Zealand"
3523323,121,"Event information"
3497106,73,"Transport/ travel options around New Zealand"
3523334,137,"Maps"
3523334,138,"Internet access"
3523323,123,"Suggested itineraries"
3523334,139,"Information about Maori culture / cultural activities"
3523323,122,"Attractions / Activities"
3523334,141,"Information about amenities/services for the town you were in"
3523334,142,"Event information"
3497156,89,"Transport/ travel options around New Zealand"
3523334,143,"Attractions / Activities"
3497156,86,"Compare prices / find deals"
3523334,140,"Directions"
3497156,87,"Directions"
3497156,91,"Suggested itineraries"
3497191,79,"General information about a different region"
3523373,177,"Access to resources to assist you to plan"
3523373,181,"Information about Maori culture / cultural activities"
3497156,88,"Overview of NZ regions"
3497156,90,"Attractions / Activities"
3523373,175,"General information about the region you were in"
3523373,176,"Check/confirm existing travel plans"
3497191,78,"Maps"
3523373,178,"Weather information"
3523373,179,"Maps"
3523373,180,"Internet access"
3523373,186,"Information about amenities/services for the town you were in"
3523373,187,"Accommodation in the region you were in"
3523373,188,"Accommodation in a different region"
3523373,189,"Transport/ travel options around New Zealand"
3523373,182,"Compare prices / find deals"
3523373,184,"Overview of NZ regions"
3497192,84,"Directions"
3523373,183,"Directions"
3523373,185,"General information about a different region"
3523373,190,"Event information"
3523373,192,"Something else"
3523373,191,"Attractions / Activities"
3497207,90,"General information about the region you were in"
3497207,91,"Check/confirm existing travel plans"
3497207,94,"Compare prices / find deals"
3497207,93,"Information about Maori culture / cultural activities"
3497207,95,"General information about a different region"
3497207,96,"See ratings by other travellers"
3497207,97,"Accommodation in the region you were in"
3497207,98,"Accommodation in a different region"
3497207,99,"Transport/ travel options around New Zealand"
3497207,100,"Event information"
3497207,101,"Something else"
3497224,75,"Overview of NZ regions"
3497224,73,"Access to resources to assist you to plan"
3497224,76,"Transport/ travel options around New Zealand"
3523659,100,"Information about amenities/services for the town you were in"
3523659,101,"Accommodation in the region you were in"
3523659,102,"Accommodation in a different region"
3497207,92,"Maps"
3523659,97,"Maps"
3497224,74,"Directions"
3523659,96,"Access to resources to assist you to plan"
3523659,99,"General information about a different region"
3497224,77,"Attractions / Activities"
3523659,98,"Overview of NZ regions"
3523659,103,"Transport/ travel options around New Zealand"
3523659,104,"Flights within New Zealand"
3497272,92,"Event information"
3497272,89,"Maps"
3523677,82,"Maps"
3523677,81,"General information about the region you were in"
3523659,105,"Suggested itineraries"
3497272,90,"Information about Maori culture / cultural activities"
3497272,91,"General information about a different region"
3523677,84,"Event information"
3497291,75,"Accommodation in the region you were in"
3497291,76,"Event information"
3523684,96,"Maps"
3497291,74,"Internet access"
3497272,93,"Attractions / Activities"
3523677,83,"Overview of NZ regions"
3523677,85,"Attractions / Activities"
3497291,73,"Check/confirm existing travel plans"
3497523,96,"Accommodation in a different region"
3497523,91,"Access to resources to assist you to plan"
3497523,94,"Directions"
3497523,97,"Suggested itineraries"
3497291,77,"Attractions / Activities"
3497523,90,"General information about the region you were in"
3497523,93,"Compare prices / find deals"
3497523,95,"Overview of NZ regions"
3523707,84,"Accommodation in a different region"
3523707,85,"Transport/ travel options around New Zealand"
3523707,86,"Attractions / Activities"
3497542,62,"Attractions / Activities"
3523707,83,"General information about a different region"
3523707,87,"Suggested itineraries"
3497542,60,"General information about a different region"
3497542,63,"Suggested itineraries"
3497542,61,"Accommodation in a different region"
3497590,87,"Accommodation in the region you were in"
3497523,92,"Maps"
3497590,86,"Maps"
3497590,85,"General information about the region you were in"
3497590,88,"Attractions / Activities"
3497592,86,"Access to resources to assist you to plan"
3497592,88,"Directions"
3497592,89,"General information about a different region"
3497592,90,"Information about amenities/services for the town you were in"
3497592,91,"Accommodation in the region you were in"
3497592,92,"Transport/ travel options around New Zealand"
3497592,93,"Event information"
3497592,87,"Maps"
3497593,76,"Weather information"
3497592,94,"Attractions / Activities"
3497593,74,"General information about the region you were in"
3497593,77,"Compare prices / find deals"
3497593,78,"Overview of NZ regions"
3497593,75,"Access to resources to assist you to plan"
3497593,79,"Information about amenities/services for the town you were in"
3497609,91,"Maps"
3523777,105,"Maps"
3497593,80,"Attractions / Activities"
3497609,89,"General information about the region you were in"
3497609,93,"Attractions / Activities"
3523777,104,"General information about the region you were in"
3497609,90,"Access to resources to assist you to plan"
3497609,92,"Information about Maori culture / cultural activities"
3497610,80,"Accommodation in a different region"
3523777,107,"Information about amenities/services for the town you were in"
3523777,108,"Event information"
3497610,77,"General information about the region you were in"
3497610,79,"Compare prices / find deals"
3497610,81,"Attractions / Activities"
3523777,106,"Overview of NZ regions"
3523777,109,"Attractions / Activities"
3497623,77,"Accommodation in the region you were in"
3497623,78,"Transport/ travel options around New Zealand"
3497640,86,"Information about amenities/services for the town you were in"
3497610,78,"Maps"
3497623,76,"Weather information"
3497623,79,"Attractions / Activities"
3497640,84,"Check/confirm existing travel plans"
3497640,87,"Attractions / Activities"
3497623,80,"Suggested itineraries"
3497657,73,"Information about amenities/services for the town you were in"
3523816,83,"Information about amenities/services for the town you were in"
3497640,85,"Maps"
3497657,71,"Weather information"
3497657,72,"Maps"
3523816,82,"Maps"
3497657,70,"General information about the region you were in"
3523816,84,"Attractions / Activities"
3497690,82,"General information about the region you were in"
3497690,85,"Information about amenities/services for the town you were in"
3523825,124,"Event information"
3497690,83,"Maps"
3523825,122,"Maps"
3497690,86,"Attractions / Activities"
3523825,125,"Attractions / Activities"
3497707,74,"General information about the region you were in"
3497690,84,"General information about a different region"
3497690,87,"Suggested itineraries"
3497707,75,"Maps"
3497710,71,"Maps"
3523852,84,"Maps"
3497723,92,"Maps"
3497707,76,"Compare prices / find deals"
3497707,77,"Attractions / Activities"
3497723,91,"General information about the region you were in"
3523825,123,"Directions"
3497707,78,"Suggested itineraries"
3523852,83,"Access to resources to assist you to plan"
3497723,93,"Information about amenities/services for the town you were in"
3497723,94,"Transport/ travel options around New Zealand"
3523866,89,"Something else"
