"SurveyResponseID","AnswerNumber","TechnologyType"
3184958,130,"Internet cafes"
3184958,131,"Wi-fi internet locations"
3184958,132,"Your own laptop or iPad/tablet"
3184959,133,"Internet cafes"
3184959,134,"Wi-fi internet locations"
3184960,120,"Your own mobile phone with a sim card purchased in New Zealand"
3184960,121,"Your own mobile phone set to global roaming"
3184960,122,"Wi-fi internet locations"
3184962,127,"Wi-fi internet locations"
3184962,128,"Your own laptop or iPad/tablet"
3184964,104,"Blackberry, iPhone or another smart phone"
3184964,105,"Wi-fi internet locations"
3184964,106,"Your own laptop or iPad/tablet"
3184965,135,"Wi-fi internet locations"
3184965,136,"Your own laptop or iPad/tablet"
3184966,133,"None of these"
3184970,107,"Your own mobile phone set to global roaming"
3184971,127,"Blackberry, iPhone or another smart phone"
3184971,128,"Your own laptop or iPad/tablet"
3184974,106,"Blackberry, iPhone or another smart phone"
3184975,132,"Internet cafes"
3184975,133,"Wi-fi internet locations"
3184975,134,"Your own laptop or iPad/tablet"
3184976,120,"Your own mobile phone set to global roaming"
3184976,121,"Blackberry, iPhone or another smart phone"
3184976,122,"Internet cafes"
3184976,123,"Your own laptop or iPad/tablet"
3184976,124,"Other types of technology"
3184977,129,"Your own mobile phone set to global roaming"
3184977,130,"Blackberry, iPhone or another smart phone"
3184980,105,"Your own mobile phone set to global roaming"
3184980,106,"Wi-fi internet locations"
3184981,121,"Your own mobile phone with a sim card purchased in New Zealand"
3184981,122,"Your own laptop or iPad/tablet"
3184982,138,"Your own mobile phone with a sim card purchased in New Zealand"
3184982,139,"Internet cafes"
3184982,140,"Your own laptop or iPad/tablet"
3184986,139,"Your own mobile phone set to global roaming"
3184986,140,"Internet cafes"
3184986,141,"Wi-fi internet locations"
3184986,142,"Your own laptop or iPad/tablet"
3184986,143,"Other types of technology"
3184987,126,"Your own mobile phone set to global roaming"
3184987,127,"A mobile phone purchased in New Zealand"
3184987,128,"Your own laptop or iPad/tablet"
3184989,130,"Blackberry, iPhone or another smart phone"
3184989,131,"Your own laptop or iPad/tablet"
3184990,120,"Your own mobile phone with a sim card purchased in New Zealand"
3184990,121,"Your own mobile phone set to global roaming"
3184990,122,"Wi-fi internet locations"
3184990,123,"Your own laptop or iPad/tablet"
3184995,117,"Your own mobile phone with a sim card purchased in New Zealand"
3184995,118,"Wi-fi internet locations"
3184996,117,"None of these"
3184998,123,"Your own mobile phone with a sim card purchased in New Zealand"
3184998,124,"Wi-fi internet locations"
3185000,131,"Your own mobile phone set to global roaming"
3185000,132,"Wi-fi internet locations"
3185002,136,"None of these"
3185003,117,"Wi-fi internet locations"
3185004,138,"Blackberry, iPhone or another smart phone"
3185005,140,"Your own mobile phone with a sim card purchased in New Zealand"
3185005,141,"Internet cafes"
3185006,124,"Internet cafes"
3185007,100,"Your own mobile phone with a sim card purchased in New Zealand"
3185007,101,"A mobile phone purchased in New Zealand"
3185007,102,"Blackberry, iPhone or another smart phone"
3185007,103,"Your own laptop or iPad/tablet"
3185010,120,"None of these"
3185013,139,"Your own laptop or iPad/tablet"
3185014,120,"Blackberry, iPhone or another smart phone"
3185014,121,"Wi-fi internet locations"
3185014,122,"Your own laptop or iPad/tablet"
3185017,113,"Your own mobile phone set to global roaming"
3185017,114,"Wi-fi internet locations"
3185018,116,"Your own mobile phone set to global roaming"
3185019,119,"Your own mobile phone set to global roaming"
3185019,120,"Wi-fi internet locations"
3185019,121,"Your own laptop or iPad/tablet"
3185021,112,"Wi-fi internet locations"
3185021,113,"Your own laptop or iPad/tablet"
3185022,129,"Your own mobile phone with a sim card purchased in New Zealand"
3185022,130,"Your own mobile phone set to global roaming"
3185022,131,"Your own laptop or iPad/tablet"
3185024,115,"Your own mobile phone set to global roaming"
3185025,125,"Your own mobile phone set to global roaming"
3185025,126,"Wi-fi internet locations"
3185029,126,"Wi-fi internet locations"
3185030,115,"Internet cafes"
3185030,116,"Wi-fi internet locations"
3185035,117,"None of these"
3185036,99,"Your own mobile phone set to global roaming"
3185038,120,"Your own mobile phone with a sim card purchased in New Zealand"
3185038,121,"Wi-fi internet locations"
3185039,112,"Your own mobile phone set to global roaming"
3185039,113,"Wi-fi internet locations"
3185042,135,"Your own mobile phone with a sim card purchased in New Zealand"
3185042,136,"Your own laptop or iPad/tablet"
3185043,144,"Wi-fi internet locations"
3185043,145,"Other types of technology"
3185044,127,"Your own laptop or iPad/tablet"
3185045,113,"Your own mobile phone set to global roaming"
3185045,114,"Wi-fi internet locations"
3185045,115,"Your own laptop or iPad/tablet"
3185047,111,"Wi-fi internet locations"
3185047,112,"Your own laptop or iPad/tablet"
3185050,136,"Your own laptop or iPad/tablet"
3185051,126,"Blackberry, iPhone or another smart phone"
3185052,135,"Internet cafes"
3185052,136,"Your own laptop or iPad/tablet"
3185054,112,"Internet cafes"
3185054,113,"Wi-fi internet locations"
3185056,123,"Blackberry, iPhone or another smart phone"
3185056,124,"Internet cafes"
3185056,125,"Wi-fi internet locations"
3185056,126,"Other types of technology"
3185059,138,"Your own mobile phone with a sim card purchased in New Zealand"
3185059,139,"Your own mobile phone set to global roaming"
3185059,140,"Wi-fi internet locations"
3185060,112,"Your own mobile phone set to global roaming"
3185060,113,"Wi-fi internet locations"
3185060,114,"Your own laptop or iPad/tablet"
3185061,112,"None of these"
3185063,126,"Your own mobile phone set to global roaming"
3185063,127,"Internet cafes"
3185063,128,"Wi-fi internet locations"
3185063,129,"Your own laptop or iPad/tablet"
3185064,118,"Blackberry, iPhone or another smart phone"
3185064,119,"Wi-fi internet locations"
3185064,120,"Your own laptop or iPad/tablet"
3185064,121,"Other types of technology"
3185066,133,"Your own mobile phone set to global roaming"
3185066,134,"Wi-fi internet locations"
3185066,135,"Your own laptop or iPad/tablet"
3185067,109,"Wi-fi internet locations"
3185067,110,"Your own laptop or iPad/tablet"
3185068,120,"None of these"
3185072,128,"Your own mobile phone with a sim card purchased in New Zealand"
3185072,129,"Your own mobile phone set to global roaming"
3185072,130,"Your own laptop or iPad/tablet"
3185073,136,"Wi-fi internet locations"
3185073,137,"Your own laptop or iPad/tablet"
3185074,118,"Your own mobile phone set to global roaming"
3185074,119,"Wi-fi internet locations"
3185074,120,"Your own laptop or iPad/tablet"
3185075,118,"Gaming console with Wi-fi capacity"
3185076,130,"None of these"
3185077,124,"Your own mobile phone set to global roaming"
3185077,125,"Wi-fi internet locations"
3185077,126,"Your own laptop or iPad/tablet"
3185078,103,"Your own laptop or iPad/tablet"
3185081,117,"Blackberry, iPhone or another smart phone"
3185081,118,"Your own laptop or iPad/tablet"
3185083,112,"Your own mobile phone with a sim card purchased in New Zealand"
3185083,113,"Wi-fi internet locations"
3185083,114,"Your own laptop or iPad/tablet"
3185084,126,"Blackberry, iPhone or another smart phone"
3185084,127,"Wi-fi internet locations"
3185086,144,"Your own mobile phone with a sim card purchased in New Zealand"
3185086,145,"Your own mobile phone set to global roaming"
3185086,146,"Internet cafes"
3185086,147,"Your own laptop or iPad/tablet"
3185087,137,"Your own mobile phone set to global roaming"
3185087,138,"Wi-fi internet locations"
3185088,118,"Your own mobile phone set to global roaming"
3185088,119,"Blackberry, iPhone or another smart phone"
3185088,120,"Wi-fi internet locations"
3185089,117,"Wi-fi internet locations"
3185090,137,"None of these"
3185091,114,"Internet cafes"
3185092,118,"None of these"
3185093,124,"Your own mobile phone set to global roaming"
3185093,125,"Wi-fi internet locations"
3185093,126,"Your own laptop or iPad/tablet"
3185094,120,"None of these"
3185098,123,"None of these"
3185100,119,"Internet cafes"
3185105,125,"Your own mobile phone with a sim card purchased in New Zealand"
3185105,126,"Your own mobile phone set to global roaming"
3185106,116,"Blackberry, iPhone or another smart phone"
3185106,117,"Wi-fi internet locations"
3185106,118,"Your own laptop or iPad/tablet"
3185107,118,"Blackberry, iPhone or another smart phone"
3185107,119,"Your own laptop or iPad/tablet"
3185108,131,"Your own mobile phone with a sim card purchased in New Zealand"
3185112,119,"Your own mobile phone set to global roaming"
3185112,120,"Internet cafes"
3185112,121,"Wi-fi internet locations"
3185112,122,"Your own laptop or iPad/tablet"
3185114,128,"Blackberry, iPhone or another smart phone"
3185114,129,"Wi-fi internet locations"
3185116,125,"Blackberry, iPhone or another smart phone"
3185116,126,"Wi-fi internet locations"
3185116,127,"Your own laptop or iPad/tablet"
3185117,130,"Your own mobile phone with a sim card purchased in New Zealand"
3185117,131,"Wi-fi internet locations"
3185117,132,"Your own laptop or iPad/tablet"
3185119,119,"Your own mobile phone set to global roaming"
3185119,120,"Blackberry, iPhone or another smart phone"
